Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Mikal Bridges,27.0,67,67.0,2359,485,1101,0.441,170,469,0.362,315,632,0.498,0.518,244,299,0.816,56,263,319,249,65,26,139,99,1384
2.0,Nic Claxton,24.0,57,57.0,1684,301,479,0.628,1,4,0.25,300,475,0.632,0.629,90,153,0.588,150,406,556,118,36,121,68,142,693
3.0,Dorian Finney-Smith,30.0,58,47.0,1644,191,448,0.426,111,300,0.37,80,148,0.541,0.55,26,36,0.722,97,174,271,91,45,33,50,133,519
4.0,Cam Thomas,22.0,52,37.0,1563,399,906,0.44,109,294,0.371,290,612,0.474,0.501,199,238,0.836,23,139,162,141,38,12,95,111,1106
5.0,Spencer Dinwiddie,30.0,48,48.0,1474,195,499,0.391,89,278,0.32,106,221,0.48,0.48,125,160,0.781,26,132,158,288,38,9,62,86,604
6.0,Cameron Johnson,27.0,51,45.0,1415,251,555,0.452,125,314,0.398,126,241,0.523,0.565,74,95,0.779,51,172,223,126,44,13,53,94,701
7.0,Royce O'Neale,30.0,49,6.0,1202,126,325,0.388,97,265,0.366,29,60,0.483,0.537,15,22,0.682,38,183,221,137,32,29,51,120,364
8.0,Dennis Smith Jr.,26.0,51,2.0,995,139,322,0.432,29,103,0.282,110,219,0.502,0.477,42,56,0.75,49,109,158,189,60,12,61,116,349
9.0,Lonnie Walker IV,25.0,46,0.0,823,181,408,0.444,94,223,0.422,87,185,0.47,0.559,41,53,0.774,9,87,96,61,29,13,45,63,497
10.0,Day'Ron Sharpe,22.0,50,1.0,773,139,238,0.584,4,12,0.333,135,226,0.597,0.592,69,113,0.611,129,195,324,73,22,36,55,109,351
11.0,Trendon Watford,23.0,49,0.0,562,109,206,0.529,15,42,0.357,94,164,0.573,0.566,51,58,0.879,39,86,125,56,17,14,35,74,284
12.0,Dennis Schröder,30.0,16,12.0,483,85,188,0.452,37,77,0.481,48,111,0.432,0.551,23,34,0.676,5,38,43,90,9,3,41,30,230
13.0,Jalen Wilson,23.0,29,1.0,412,45,109,0.413,16,46,0.348,29,63,0.46,0.486,24,27,0.889,32,43,75,32,7,1,11,33,130
14.0,Ben Simmons,27.0,15,12.0,359,43,74,0.581,0,0,,43,74,0.581,0.581,6,15,0.4,31,88,119,86,12,9,27,36,92
15.0,Armoni Brooks,25.0,10,0.0,104,15,46,0.326,11,32,0.344,4,14,0.286,0.446,1,2,0.5,7,11,18,5,1,1,3,3,42
16.0,Noah Clowney,19.0,10,0.0,86,11,19,0.579,1,5,0.2,10,14,0.714,0.605,6,6,1.0,6,10,16,8,2,1,5,6,29
17.0,Harry Giles,25.0,16,0.0,81,22,44,0.5,3,11,0.273,19,33,0.576,0.534,7,13,0.538,12,14,26,6,1,3,6,15,54
18.0,Keita Bates-Diop,28.0,12,0.0,61,8,16,0.5,1,5,0.2,7,11,0.636,0.531,4,4,1.0,1,7,8,3,2,2,2,2,21
19.0,Keon Johnson,21.0,4,0.0,51,7,19,0.368,4,9,0.444,3,10,0.3,0.474,10,10,1.0,3,2,5,3,3,1,4,4,28
20.0,Dariq Whitehead,19.0,2,0.0,24,1,5,0.2,0,3,0.0,1,2,0.5,0.2,1,2,0.5,0,4,4,3,0,1,0,0,3
