No.,Player,Pos,Ht,Wt,Birth Date,Country,Exp,College
1.0,Mikal Bridges,SF,6-6,209,August 30 1996,us,5,Villanova
28.0,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us,7,Florida
33.0,Nic Claxton,C,6-11,215,April 17 1999,us,4,Georgia
24.0,Cam Thomas,SG,6-4,210,October 13 2001,jp,2,LSU
2.0,Cameron Johnson,PF,6-8,210,March 3 1996,us,4,Pitt UNC
4.0,Dennis Smith Jr.,PG,6-2,205,November 25 1997,us,6,NC State
20.0,Day'Ron Sharpe,C,6-11,265,November 6 2001,us,2,UNC
9.0,Trendon Watford,PF,6-9,240,November 9 2000,us,2,LSU
8.0,Lonnie Walker IV,SG,6-4,204,December 14 1998,us,5,Miami (FL)
22.0,Jalen Wilson,PF,6-8,225,November 4 2000,us,R,Kansas
17.0,Dennis Schröder,PG,6-1,172,September 15 1993,de,10,
10.0,Ben Simmons,PG,6-10,240,July 20 1996,au,5,LSU
13.0,Keita Bates-Diop,SF,6-8,229,January 23 1996,us,5,Ohio State
21.0,Noah Clowney,PF,6-10,210,July 14 2004,us,R,Alabama
45.0,Keon Johnson  (TW),SG,6-5,186,March 10 2002,us,2,Tennessee
0.0,Dariq Whitehead,SF,6-7,220,August 1 2004,us,R,Duke
,Jaylen Martin  (TW),SF,6-6,216,January 28 2004,us,R,
,Jacob Gilyard  (TW),PG,5-9,160,July 14 1998,us,1,Richmond
